mamadini,dominguez,cc,4325124,m,3101232001,3211223,benitodominguez@gmail.com,barrancabermeja,francia,cali,carrera 23 # 44 232 sur,santa lucia,salud,nueva,sinovac,12,1,1980,0,0,0,0,0,0,
sarucha,malucha,cc,4325123,f,3101232024,3211223,benitomalucha@gmail.com,barrancabermeja,francia,cali,carrera 23 # 44 232 sur,santa lucia,salud,nueva,sinovac,13,2,1981,0,0,0,0,0,0,
sara,meltrozo,cc,4325122,f,3101232023,3211223,benitomeltrozo@gmail.com,melgar,francia,medellin,carrera 23 # 44 232 sur,santa lucia,salud,nueva,sinovac,14,3,1982,0,0,0,0,0,0,
paola,sonora,cc,4325121,f,3101232022,3211223,benitosonora@gmail.com,melgar,brasil,medellin,carrera 23 # 44 232 sur,santa lucia,salud,nueva,sinovac,15,4,1983,0,0,0,0,0,0,
larry capija,ordoñes,cc,4325120,f,3101232021,3211223,benitoordoñes@gmail.com,melgar,brasil,bogota,carrera 23 # 44 232 sur,santa lucia,artes,cafeSalud,sinovac,16,5,1984,0,0,0,0,0,0,
elsa capunta,melbicho,cc,4325119,f,3101232020,3211223,benitomelbicho@gmail.com,cartagena,brasil,bogota,carrera 23 # 44 232 sur,santa lucia,artes,cafeSalud,johnson,17,6,1985,0,0,0,0,0,0,
laura marciano,reptiliano,cc,4325118,f,3101232019,3211223,benitoreptiliano@gmail.com,cartagena,brasil,bogota,carrera 23 # 44 232 sur,santa lucia,artes,cafeSalud,johnson,18,7,1986,0,0,0,0,0,0,
laura,clastraga,cc,4325117,f,3101232018,3211223,benitoclastraga@gmail.com,cartagena,venezuela,cali,carrera 23 # 44 232 sur,santa lucia,artes,cafeSalud,johnson,19,8,1990,0,0,0,0,0,0,
rayito,veloz,cc,4325116,m,3101232017,3211223,benitoveloz@gmail.com,cartagena,venezuela,cali,carrera 23 # 44 232 sur,santa lucia,sociales,cafeSalud,johnson,20,9,1991,0,0,0,0,0,0,
rayo ,mcquin,cc,4325115,f,3101232016,3211223,benitomcquin@gmail.com,cartagena,venezuela,cali,carrera 23 # 44 232 sur,santa lucia,sociales,nueva,astrazeneca,21,10,1992,0,0,0,0,0,0,
paco mercado,ciruelas,cc,4325114,m,3101232014,3211223,benitociruelas@gmail.com,cartagena,venezuela,cali,carrera 23 # 44 232 sur,santa lucia,sociales,nueva,astrazeneca,22,11,1993,0,0,0,0,0,0,
paco mer,canela,cc,4325113,m,3101132013,3211223,benitocanela@gmail.com,cartagena,venezuela,cali,carrera 23 # 44 232 sur,santa lucia,tecnico,nueva,astrazeneca,23,12,1994,0,0,0,0,0,0,
paco ser,botones,cc,4325112,m,3101232013,3211223,benitobotones@gmail.com,pasto,brasil,barranquilla,carrera 23 # 44 232 sur,santa lucia,tecnico,sanitas,sputnik,24,1,1995,0,0,0,0,0,0,
paco arnuldo,uzumaki,cc,4325111,m,3101232012,3211223,benitouzumaki@gmail.com,pasto,brasil,barranquilla,carrera 23 # 44 232 sur,santa lucia,tecnico,sanitas,sputnik,25,2,1996,0,0,0,0,0,0,
paco mafioso,bolaños,cc,4325110,m,3101232011,3211223,benitobolaños@gmail.com,pasto,francia,barranquilla,carrera 23 # 44 232 sur,santa lucia,tecnico,sanitas,sputnik,26,3,2000,0,0,0,0,0,0,
paco maloso,lugo,cc,4325109,m,3101232010,3211223,benitolugo@gmail.com,pasto,francia,medellin,carrera 23 # 44 232 sur,santa lucia,tecnico,sanitas,pfizer,27,4,2001,0,0,0,0,0,0,
paco manitos,samsung,cc,4325108,m,3101232009,3211223,benitosamsung@gmail.com,pasto,francia,medellin,carrera 23 # 44 232 sur,santa lucia,tecnico,compensar,pfizer,28,5,2002,0,0,0,0,0,0,
luis francisco,nokia,cc,4325107,m,3101232008,3211223,benitonokia@gmail.com,pasto,francia,medellin,carrera 23 # 44 232 sur,santa lucia,tecnico,compensar,pfizer,29,6,1960,0,0,0,0,0,0,
luis maximiliano,miniliano,cc,4325106,m,3101232007,3211223,benitominiliano@gmail.com,pasto,colombia,medellin,carrera 23 # 44 232 sur,santa lucia,tecnico,compensar,pfizer,1,7,1961,0,0,0,0,0,0,
luis javier,gonzalo,cc,4325105,m,3101232006,3211223,benitogonzalo@gmail.com,barrancabermeja,colombia,medellin,carrera 23 # 44 232 sur,santa lucia,tecnico,compensar,pfizer,2,8,1962,0,0,0,0,0,0,
armando benedetti,torres,cc,4325104,m,3101232005,3211223,benitosopladini@gmail.com,barrancabermeja,colombia,bogota,carrera 23 # 44 232 sur,santa lucia,ingenieria,famisanar,moderna,3,9,1963,0,0,0,0,0,0,
armando casas,siatama,cc,4325103,m,3101232004,3211223,benitosiatama@gmail.com,barrancabermeja,colombia,bogota,carrera 23 # 44 232 sur,santa lucia,ingenieria,famisanar,moderna,4,10,1964,0,0,0,0,0,0,
armando javier,roman,cc,4325102,m,3101232003,3211223,benitoroman@gmail.com,barrancabermeja,colombia,bogota,carrera 23 # 44 232 sur,santa lucia,ingenieria,famisanar,moderna,5,11,1970,0,0,0,0,0,0,
lorenzo daniel,rodriguez,cc,4325101,m,3101232002,3211223,benitorodriguez@gmail.com,barrancabermeja,colombia,bogota,carrera 23 # 44 232 sur,santa lucia,otro,famisanar,moderna,6,12,1971,0,0,0,0,0,0,
